Id,x,y,gridcode,is_inside
3569,100.502083333,7.032916666333331,0,True
3592,100.502083333,7.032083332999997,0,True
3615,100.5012499996667,7.031249999666664,0,True
3616,100.502083333,7.031249999666664,0,True
3630,100.4787499996667,7.030416666333331,0,True
3631,100.479583333,7.030416666333331,0,True
3653,100.479583333,7.029583332999998,0,True
3654,100.4804166663333,7.029583332999998,0,True
3662,100.5004166663333,7.029583332999998,0,True
3663,100.502083333,7.029583332999998,0,True
3679,100.4787499996667,7.028749999666664,0,True
3680,100.4804166663333,7.028749999666664,0,True
3688,100.5004166663333,7.028749999666664,0,True
3689,100.5012499996667,7.028749999666664,0,True
3707,100.4787499996667,7.027916666333331,0,True
3712,100.5012499996667,7.027916666333331,0,True
3721,100.4629166663333,7.027083332999998,0,True
3723,100.467083333,7.027083332999998,0,True
3724,100.4704166663333,7.027083332999998,0,True
3725,100.472083333,7.027083332999998,0,True
3726,100.474583333,7.027083332999998,0,True
3727,100.4762499996667,7.027083332999998,0,True
3728,100.4787499996667,7.027083332999998,0,True
3729,100.479583333,7.027083332999998,0,True
3736,100.5004166663333,7.027083332999998,0,True
3737,100.5012499996667,7.027083332999998,0,True
3741,100.454583333,7.026249999666664,0,True
3742,100.459583333,7.026249999666664,0,True
3743,100.462083333,7.026249999666664,0,True
3744,100.462083333,7.026249999666664,0,True
3745,100.4679166663333,7.026249999666664,0,True
3746,100.4687499996667,7.026249999666664,0,True
3747,100.469583333,7.026249999666664,0,True
3748,100.472083333,7.026249999666664,0,True
3749,100.472083333,7.026249999666664,0,True
3750,100.477083333,7.026249999666664,0,True
3751,100.4779166663333,7.026249999666664,0,True
3752,100.479583333,7.026249999666664,0,True
3753,100.4804166663333,7.026249999666664,0,True
3758,100.5004166663333,7.026249999666664,0,True
3759,100.5004166663333,7.026249999666664,0,True
3762,100.457083333,7.025416666333331,0,True
3763,100.4579166663333,7.025416666333331,0,True
3764,100.4587499996667,7.025416666333331,0,True
3765,100.459583333,7.025416666333331,0,True
3766,100.4604166663333,7.025416666333331,0,True
3767,100.462083333,7.025416666333331,0,True
3768,100.467083333,7.025416666333331,0,True
3769,100.469583333,7.025416666333331,0,True
3770,100.474583333,7.025416666333331,0,True
3771,100.4754166663333,7.025416666333331,0,True
3772,100.479583333,7.026249999666664,0,True
3773,100.482083333,7.025416666333331,0,True
3774,100.482083333,7.025416666333331,0,True
3778,100.5004166663333,7.025416666333331,0,True
3782,100.452083333,7.024583332999997,0,True
3783,100.4529166663333,7.024583332999997,0,True
3784,100.454583333,7.024583332999997,0,True
3785,100.4554166663333,7.024583332999997,0,True
3786,100.457083333,7.024583332999997,0,True
3787,100.459583333,7.024583332999997,0,True
3788,100.4679166663333,7.024583332999997,0,True
3789,100.4762499996667,7.024583332999997,0,True
3790,100.477083333,7.024583332999997,0,True
3793,100.499583333,7.024583332999997,0,True
3803,100.452083333,7.023749999666665,0,True
3804,100.4537499996667,7.024583332999997,0,True
3805,100.4562499996667,7.023749999666665,0,True
3806,100.4654166663333,7.023749999666665,0,True
3807,100.4662499996667,7.023749999666665,0,True
3808,100.477083333,7.023749999666665,0,True
3809,100.477083333,7.023749999666665,0,True
3822,100.4529166663333,7.022916666333331,0,True
3823,100.4554166663333,7.022916666333331,0,True
3824,100.459583333,7.022916666333331,0,True
3825,100.4604166663333,7.022916666333331,0,True
3826,100.4629166663333,7.022916666333331,0,True
3827,100.464583333,7.022916666333331,0,True
3828,100.4662499996667,7.022916666333331,0,True
3829,100.4762499996667,7.022916666333331,0,True
3834,100.4987499996667,7.022916666333331,0,True
3835,100.4987499996667,7.022916666333331,0,True
3842,100.4537499996667,7.022083332999998,0,True
3843,100.454583333,7.022083332999998,0,True
3844,100.4579166663333,7.022083332999998,0,True
3845,100.4612499996667,7.022083332999998,0,True
3846,100.462083333,7.022083332999998,0,True
3847,100.4637499996667,7.022083332999998,0,True
3848,100.4712499996667,7.022083332999998,0,True
3849,100.4737499996667,7.022083332999998,0,True
3850,100.474583333,7.022083332999998,0,True
3851,100.4754166663333,7.022083332999998,0,True
3852,100.477083333,7.022083332999998,0,True
3853,100.4812499996667,7.022083332999998,0,True
3859,100.4979166663333,7.022083332999998,0,True
3870,100.454583333,7.021249999666664,0,True
3871,100.4612499996667,7.021249999666664,0,True
3872,100.462083333,7.021249999666664,0,True
3873,100.4629166663333,7.021249999666664,0,True
3874,100.4654166663333,7.021249999666664,0,True
3875,100.4662499996667,7.021249999666664,0,True
3876,100.4679166663333,7.021249999666664,0,True
3877,100.4704166663333,7.021249999666664,0,True
3878,100.4729166663333,7.021249999666664,0,True
3879,100.474583333,7.021249999666664,0,True
3880,100.4754166663333,7.021249999666664,0,True
3881,100.4787499996667,7.021249999666664,0,True
3882,100.479583333,7.021249999666664,0,True
3883,100.482083333,7.021249999666664,0,True
3884,100.4829166663333,7.021249999666664,0,True
3890,100.4979166663333,7.021249999666664,0,True
3901,100.454583333,7.020416666333331,0,True
3902,100.459583333,7.020416666333331,0,True
3903,100.4612499996667,7.020416666333331,0,True
3904,100.4612499996667,7.020416666333331,0,True
3905,100.4662499996667,7.020416666333331,0,True
3906,100.4679166663333,7.020416666333331,0,True
3907,100.4687499996667,7.020416666333331,0,True
3908,100.469583333,7.020416666333331,0,True
3909,100.4712499996667,7.020416666333331,0,True
3910,100.4737499996667,7.020416666333331,0,True
3911,100.474583333,7.020416666333331,0,True
3912,100.4779166663333,7.020416666333331,0,True
3913,100.4804166663333,7.020416666333331,0,True
3914,100.4829166663333,7.020416666333331,0,True
