u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel,lanes_clean,capacity
485580824,8642774010,0,931321078,tertiary,ถนนพลพิชัย,False,False,48.86344657488779,,,,,,,,1.0,171.02206301210725
485580824,4900465156,0,931321078,tertiary,ถนนพลพิชัย,False,True,52.419118131835496,,,,,,,,1.0,183.46691346142424
485580824,12008685153,0,"[323956433, 323956437]",secondary,,False,False,269.44419703627784,yes,,,,,,,1.0,943.0546896269725
485580824,13368519214,0,323958075,secondary,ถนนศรีภูวนารถ,False,True,94.9903206033894,,,,,,,,1.0,332.46612211186294
485580829,3307271116,0,1173586178,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,7.747835630145036,,3,,,,,,3.0,81.35227411652288
485580829,985092779,0,1173586180,secondary,ถนนศรีภูวนารถ,True,False,107.9769105010268,,,,,,,,1.0,377.91918675359375
485580840,620881529,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,74.31830434244294,,2,,,,,,2.0,520.2281303971006
485580841,4900465380,0,40264698,residential,,False,True,66.57213093237833,,,,,,,,1.0,233.00245826332414
485580841,4900465504,0,706093503,residential,,True,False,42.90338565124223,,,,,,,,1.0,150.16184977934782
485580842,1559029797,0,84842974,residential,ถนนนิพัทธ์อุทิศ 3,True,False,96.60963189260973,,3,,,,,,3.0,1014.401134872402
485580842,617233014,0,706093508,residential,ถนนประชาธิปัตย์,True,False,65.56766548439072,,,,,,,,1.0,229.4868291953675
485580845,1612097195,0,706096636,tertiary,ถนนศุภสารรังสรรค์,False,False,69.39208877331964,,,,,,,,1.0,242.87231070661875
485580845,4085816302,0,706096642,tertiary,ถนนศุภสารรังสรรค์,True,False,68.13274781783795,,,,,,,,1.0,238.46461736243282
617233014,2506085784,0,40264696,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,130.24306119997948,,3,,,,,,3.0,1367.5521425997845
617233014,620881567,0,706093508,residential,ถนนประชาธิปัตย์,True,False,79.54854027563788,,,,,,,,1.0,278.4198909647326
617234280,617233014,0,40264696,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,185.95538542269117,,3,,,,,,3.0,1952.5315469382574
617234280,617234576,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,73.34310571102583,,2,,,,,,2.0,513.4017399771808
617234281,1107784884,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,139.45662129133734,,2,,,,,,2.0,976.1963490393614
617234281,1559029798,0,706097788,residential,ถนนเสน่หานุสรณ์,True,False,93.23343161816028,,,20.0,,,,,1.0,326.317010663561
617234534,1680666529,0,"[155690331, 498671563]",residential,,False,True,177.3744802126813,,,,,,,,1.0,620.8106807443846
617234534,4900465653,0,706093507,residential,,True,False,109.40126148448742,,,,,,,,1.0,382.90441519570595
617234535,617234280,0,40264696,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,162.32019324306594,,3,,,,,,3.0,1704.3620290521926
617234535,620881544,0,684704215,residential,Thanon Manasruedee,True,False,75.4743200211116,,,,,,,,1.0,264.1601200738906
617234576,617234281,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,84.42845028719734,,2,,,,,,2.0,590.9991520103813
617234576,1176926303,0,84842974,residential,ถนนนิพัทธ์อุทิศ 3,True,False,84.04229596068912,,3,,,,,,3.0,882.4441075872357
617234843,485580842,0,706093508,residential,ถนนประชาธิปัตย์,True,False,84.5324332750978,,,,,,,,1.0,295.8635164628423
620881015,4900465129,0,243082644,residential,ถนนไทยอาคาร,True,False,27.22606932450923,,,,,,,,1.0,95.2912426357823
620881015,6636332746,0,323960908,secondary,ถนนศรีภูวนารถ,True,False,80.01029676082271,,,,,,,,1.0,280.0360386628795
620881097,8523329816,0,84842974,residential,ถนนนิพัทธ์อุทิศ 3,True,False,11.86874229950903,,3,,,,,,3.0,124.62179414484483
620881097,2506087028,0,243188120,residential,,True,False,61.59687337127461,,,,,,,,1.0,215.58905679946113
620881522,617234534,0,684704215,residential,Thanon Manasruedee,True,False,76.83472984859014,,,,,,,,1.0,268.92155447006553
620881522,4900465652,0,1334523574,residential,ถนนรัถการ,True,False,109.23541897273748,,,,,,,,1.0,382.32396640458114
620881529,12346123215,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,7.282627902454549,,2,,,,,,2.0,50.97839531718184
620881530,485580841,0,706095304,residential,ถนนประชาธิปัตย์,True,False,86.23495745652862,,,,,,,,1.0,301.8223510978502
620881530,4900465381,0,706096638,residential,ถนนรัถการ,False,False,69.49148153903104,,,,,,,,1.0,243.22018538660865
620881544,1559016915,0,684704215,residential,Thanon Manasruedee,True,False,99.04315967615518,,,,,,,,1.0,346.65105886654317
620881544,3125684629,0,1315837498,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,35.15544973810013,,3,,,,,,3.0,369.1322222500514
620881566,617234280,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,68.93938346579667,,2,,,,,,2.0,482.5756842605767
620881566,620881544,0,1315837498,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,162.7922042213236,,3,,,,,,3.0,1709.3181443238977
620881567,6634630597,0,1315837498,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,82.3172216139445,,3,,,,,,3.0,864.3308269464171
620881567,620881530,0,706095304,residential,ถนนประชาธิปัตย์,True,False,95.87658395674369,,,,,,,,1.0,335.5680438486029
620881568,1612097191,0,48923856,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,13.558358310059784,,3,,,,,,3.0,142.36276225562773
620881568,1612097195,0,1315837497,tertiary,ถนนศุภสารรังสรรค์,False,True,17.920533924039304,,,,,,,,1.0,62.721868734137566
620881568,2506087114,0,77967084,secondary,ถนนเพชรเกษม,True,False,175.11559284187777,,,,,,,,1.0,612.9045749465722
796719799,1173916582,0,110691148,residential,,False,False,15.36548307758767,,,,,,,,1.0,53.77919077155685
796719799,1680665406,0,155691024,residential,ถนนศรีภูวนารถ ซอย 14,False,True,67.2336956441837,,,,,,,,1.0,235.31793475464295
796719799,809537420,0,959974136,secondary,ถนนศรีภูวนารถ,True,False,70.1742301192642,,,,,,,,1.0,245.6098054174247
796719833,2505175795,0,142455597,residential,,True,False,8.664956956741193,,,,,,,,1.0,30.327349348594176
796719833,3307305334,0,"[685344728, 1173627705, 1173627704]",secondary,ถนนศรีภูวนารถ,True,False,91.95348886159672,,,,,,,,1.0,321.83721101558854
796719858,4900465125,0,243082641,unclassified,Thanon Simbenjapolpatana,False,False,41.571418463848566,,,,,,,,1.0,145.49996462347
796719858,1558729721,0,"[65075561, 65075564, 142455591]",unclassified,,False,True,33.278861631982025,yes,,,,,,,1.0,116.4760157119371
796719858,1559016846,0,243082642,unclassified,Thanon Simbenjapolpatana,False,False,102.1519001486942,,,,,,,,1.0,357.5316505204297
796719881,986090190,0,104353653,primary,ถนนกาญจนวณิชย์,True,False,55.863909082966984,,3,,,,,,3.0,586.5710453711533
796719881,1107926973,0,127078355,tertiary,ถนนบ้านทุ่งรี,False,True,99.7642527796128,,,,,,,,1.0,349.1748847286448
796719909,6420376579,0,685185524,primary_link,ถนนปุณณกัณฑ์,True,False,15.359833039207896,,2,,,,,,2.0,107.51883127445527
796719909,1407217794,0,970037612,primary,ถนนกาญจนวณิชย์,True,False,67.38378128920596,,3,,407,,,,3.0,707.5297035366625
796719962,1559016833,0,142434857,unclassified,Thanon Thung Sao 1,False,False,47.02648776289603,,,,,,,,1.0,164.59270717013612
796719962,1558729721,0,142434857,unclassified,Thanon Thung Sao 1,False,True,9.802398732489582,,,,,,,,1.0,34.30839556371354
