u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel,flood_level_u,flood_level_v,flood_level
1680663129,1680663469,0,155690975,residential,Soi 1 Chan Viroj,False,False,87.67137953489514,,,,,,,,1,5,5
1680663129,1680662744,0,155690975,residential,Soi 1 Chan Viroj,False,True,83.99502554449998,,,,,,,,1,1,1
1680663191,1680663246,0,155690481,residential,Thanon Phonphichai Soi 6,False,False,106.76312887330096,,,,,,,,1,1,1
1680663195,1407220184,0,129827549,residential,ถนนทุ่งเสา 2 ซอย 6,False,False,34.655191654947295,,,,,,,,3,3,3
1680663195,1680663206,0,155690538,residential,ถนนทุ่งเสา 2 ซอย 6/1,False,True,88.17794675695,,,,,,,,3,4,4
1680663195,1431715390,0,129827549,residential,ถนนทุ่งเสา 2 ซอย 6,False,True,194.15450889746708,,,,,,,,3,3,3
1680663206,1680663195,0,155690538,residential,ถนนทุ่งเสา 2 ซอย 6/1,False,False,88.17794675695,,,,,,,,4,3,4
1680663206,4900465301,0,155691064,residential,Thanon Thungsao 2 Soi 4,False,True,82.92264267284251,,,,,,,,4,3,4
1680663206,1680663941,0,155691064,residential,Thanon Thungsao 2 Soi 4,False,False,151.80128330529564,,,,,,,,4,2,4
1680663246,1680663330,0,931321078,tertiary,ถนนพลพิชัย,False,True,31.3939417837563,,,,,,,,1,1,1
1680663246,1680663191,0,155690481,residential,Thanon Phonphichai Soi 6,False,True,106.76312887330096,,,,,,,,1,1,1
1680663246,1680663064,0,931321078,tertiary,ถนนพลพิชัย,False,False,51.38778377924792,,,,,,,,1,1,1
1680663265,1680664013,0,155690986,residential,Soi Kum Uthit 3,False,False,166.71302223276737,,,,,,,,3,3,3
1680663330,1680663538,0,155690445,residential,Soi Padungthong,False,False,93.22367743307116,,,,,,,,1,1,1
1680663330,1680663246,0,931321078,tertiary,ถนนพลพิชัย,False,False,31.3939417837563,,,,,,,,1,1,1
1680663330,1680663461,0,931321078,tertiary,ถนนพลพิชัย,False,True,15.155145544279945,,,,,,,,1,1,1
1680663371,1680663823,0,155690746,residential,Thanon Thungsao 2 Soi 4/2,False,True,95.2803695997744,,,,,,,,4,2,4
1680663374,1680663388,0,155690732,residential,,False,False,78.29133052887782,,,,,,,,4,4,4
1680663374,8635026203,0,706256378,residential,Thanon Thung Sao 1 Soi 2,False,False,39.7080370573588,,,,,,,,4,3,4
1680663374,8642700034,0,155690732,residential,,False,True,132.3533809412565,,,,,,,,4,5,5
1680663374,1680663948,0,"[706256378, 155690277]",residential,Thanon Thung Sao 1 Soi 2,False,True,187.13105078675417,,,,,,,,4,3,4
1680663378,1108909562,0,706256384,residential,Thanon Thungsao 2,False,False,34.79743926394405,,,,,,,,3,3,3
1680663378,4900465647,0,706256384,residential,Thanon Thungsao 2,False,True,29.402722542631132,,,,,,,,3,3,3
1680663378,4900465186,0,155691129,residential,Thanon Thungsao 2 Soi 2,False,True,73.73591770724623,,,,,,,,3,5,5
1680663383,1680663461,0,155690705,residential,Thanon Phonphichai Soi 4,False,False,81.18199248273426,,,,,,,,1,1,1
1680663388,1680663374,0,155690732,residential,,False,True,78.29133052887782,,,,,,,,4,4,4
1680663396,1680663855,0,155690679,residential,,False,False,111.81372992526492,,,,,,,,1,5,5
1680663402,1680663469,0,95637140,residential,ถนนจันทร์วิโรจน์,False,False,44.03834902314582,,,,,,,,5,5,5
1680663402,1108909319,0,95637140,residential,ถนนจันทร์วิโรจน์,False,True,40.68779517626613,,,,,,,,5,5,5
1680663402,1680663097,0,155691008,residential,Soi 2 Chan Viroj,False,False,86.96582684136585,,,,,,,,5,1,5
1680663402,13414469749,0,498671454,residential,Thanon Kian-Suneeautid,False,True,85.62941739088966,,,,,,,,5,5,5
1680663461,1680663330,0,931321078,tertiary,ถนนพลพิชัย,False,False,15.155145544279945,,,,,,,,1,1,1
1680663461,1680663699,0,931321078,tertiary,ถนนพลพิชัย,False,True,46.950738160545605,,,,,,,,1,1,1
1680663461,1680663383,0,155690705,residential,Thanon Phonphichai Soi 4,False,True,81.18199248273426,,,,,,,,1,1,1
1680663469,1680663542,0,95637140,residential,ถนนจันทร์วิโรจน์,False,False,64.65351962155822,,,,,,,,5,5,5
1680663469,1680663402,0,95637140,residential,ถนนจันทร์วิโรจน์,False,True,44.03834902314582,,,,,,,,5,5,5
1680663469,1680663129,0,155690975,residential,Soi 1 Chan Viroj,False,True,87.67137953489514,,,,,,,,5,1,5
1680663479,1680663833,0,155691041,residential,,False,False,83.59622140574183,,,,,,,,1,5,5
1680663479,8642396828,0,932285143,residential,,False,False,54.26781473085177,,,,,,,,1,1,1
1680663479,1680662748,0,155691041,residential,,False,True,156.44279696058578,,,,,,,,1,1,1
1680663483,1108909691,0,155691039,residential,Thanon Thungsao 2 Soi 4/1,False,False,114.16284712186742,,,,,,,,4,2,4
1680663538,1680663330,0,155690445,residential,Soi Padungthong,False,True,93.22367743307116,,,,,,,,1,1,1
1680663542,1680663469,0,95637140,residential,ถนนจันทร์วิโรจน์,False,True,64.65351962155822,,,,,,,,5,5,5
1680663542,8642454293,0,155690911,residential,Soi Permcharoem,False,True,34.97199340515343,,,,,,,,5,5,5
1680663542,1558343310,0,95637140,residential,ถนนจันทร์วิโรจน์,False,False,61.11490919319557,,,,,,,,5,3,5
1680663542,13414469749,0,"[155690443, 1462437531]",residential,,False,True,223.00828692240665,,,,,,,,5,5,5
1680663630,1680663699,0,155690420,residential,Thanon Phonphichai Soi 2,False,False,54.667465507425874,,,,,,,,1,1,1
1680663699,1680663461,0,931321078,tertiary,ถนนพลพิชัย,False,False,46.950738160545605,,,,,,,,1,1,1
1680663699,1680663769,0,931321078,tertiary,ถนนพลพิชัย,False,True,16.670114014309508,,,,,,,,1,1,1
1680663699,1680663630,0,155690420,residential,Thanon Phonphichai Soi 2,False,True,54.667465507425874,,,,,,,,1,1,1
1680663706,1680663823,0,95637131,unclassified,Thanon Thungsao 2,False,False,49.02177292141636,,,,,,,,3,2,3
1680663706,1108909562,0,95637131,unclassified,Thanon Thungsao 2,False,True,47.09983900627995,,,,,,,,3,3,3
1680663706,1680663997,0,155690597,residential,Thanon Thung Sao 2 Soi 1,False,True,88.08038987830305,,,,,,,,3,3,3
1680663769,1680663699,0,931321078,tertiary,ถนนพลพิชัย,False,False,16.670114014309508,,,,,,,,1,1,1
1680663769,1680663855,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,False,162.15214128947093,,,,,,,,1,5,5
1680663769,1108909550,0,931321078,tertiary,ถนนพลพิชัย,False,True,50.77077824227688,,,,,,,,1,1,1
1680663823,1680663909,0,95637131,unclassified,Thanon Thungsao 2,False,False,29.418468381412787,,,,,,,,2,2,2
1680663823,1680663706,0,95637131,unclassified,Thanon Thungsao 2,False,True,49.02177292141636,,,,,,,,2,3,3
