osmid,y,x,highway,street_count,junction,longitude,latitude,gridcode,flood_distance_deg,flood_level
796747286,7.0728405,100.5459628,,3,,100.5459628,7.0728405,1,0.011222671941847496,1
796747456,6.9948771,100.4731298,,4,,100.4731298,6.9948771,2,0.00035738597115717475,2
796747457,7.0402296,100.5032315,,3,,100.5032315,7.0402296,1,0.005451330458695957,1
796747460,7.063021,100.5263268,,3,,100.5263268,7.063021,4,0.00877830348796637,4
796747467,6.9959748,100.474307,,3,,100.474307,6.9959748,3,0.000390012020984232,3
796747470,7.0243279,100.5000719,,4,,100.5000719,7.0243279,5,0.002980100642649356,5
796747481,7.0197302,100.497509,,3,,100.497509,7.0197302,5,0.0025608127137710227,5
796747484,7.0566764,100.511562,,3,,100.511562,7.0566764,3,0.004220313680676194,3
796747486,7.0757014,100.5489887,,3,,100.5489887,7.0757014,1,0.010682320362740977,1
796747504,6.9982394,100.4794629,,3,,100.4794629,6.9982394,3,0.0005452517397583882,3
796747514,7.0487374,100.5046144,,3,,100.5046144,7.0487374,1,0.007308896216940098,1
796747549,7.0368599,100.5023703,,3,,100.5023703,7.0368599,1,0.005736096736769032,1
796747561,7.0348847,100.5021609,,3,,100.5021609,7.0348847,1,0.004228108597976079,1
796747573,7.0196037,100.4940953,,3,,100.4940953,7.0196037,5,0.0005256289049902301,5
796747593,7.0186323,100.4827199,,3,,100.4827199,7.0186323,2,0.0006824084646130953,2
796747625,7.0358609,100.5022144,,3,,100.5022144,7.0358609,1,0.005114622182799222,1
796747634,7.0065342,100.4807754,,3,,100.4807754,7.0065342,3,0.0007866339729643718,3
796747657,7.0335293,100.5020819,,3,,100.5020819,7.0335293,1,0.0030866227433646062,1
796747667,7.0302822,100.5021551,,4,,100.5021551,7.0302822,1,0.002362638714245595,1
796747673,6.9949299,100.4753132,,4,,100.4753132,6.9949299,1,0.0008249970172842245,1
796747680,7.0394001,100.5030623,,3,,100.5030623,7.0394001,1,0.005836630534322479,1
796747687,6.9956609,100.4743975,,3,,100.4743975,6.9956609,3,0.0006177404636374899,3
796747689,7.0199785,100.4979777,,3,,100.4979777,7.0199785,5,0.002729141879737473,5
796747695,6.9941766,100.4731619,,3,,100.4731619,6.9941766,2,0.00044138532687359425,2
796747697,6.9987495,100.4887355,,3,,100.4887355,6.9987495,1,0.004739601477091547,1
796747698,6.9958718,100.4748039,,3,,100.4748039,6.9958718,3,0.00043784064700074714,3
796747700,7.0196605,100.4955911,,3,,100.4955911,7.0196605,5,0.0018721406089874989,5
796747714,7.0042416,100.4803944,,3,,100.4803944,7.0042416,4,0.0004014556984906146,4
796747741,7.068264,100.5388949,,3,,100.5388949,7.068264,2,0.006179702671896734,2
796747745,7.0185967,100.4823756,,3,,100.4823756,7.0185967,2,0.0009932847909795213,2
796747747,7.0479141,100.5043777,,3,,100.5043777,7.0479141,1,0.006710167895326694,1
796747759,7.0727706,100.5460336,,4,,100.5460336,7.0727706,1,0.011127173708757904,1
798837126,7.0037116,100.533444,,3,,100.533444,7.0037116,1,0.038112937885093706,1
798837186,7.0032861,100.5322561,,3,,100.5322561,7.0032861,1,0.037153865160300344,1
798837249,7.0005699,100.5225681,,3,,100.5225681,7.0005699,5,0.03089074574020823,5
798837268,7.00148,100.501788,,3,,100.501788,7.00148,3,0.013720285713776927,3
798837414,7.0021106,100.5273352,,3,,100.5273352,7.0021106,1,0.033936377383698306,1
798837511,7.0025103,100.5295115,,3,,100.5295115,7.0025103,1,0.0351979283280656,1
798837541,7.0003718,100.501072,,3,,100.501072,7.0003718,3,0.013291901572934214,3
798837594,7.0002432,100.5195745,,3,,100.5195745,7.0002432,5,0.02936598374569345,5
798837636,6.9997607,100.5166314,,3,,100.5166314,6.9997607,5,0.026666296450078113,5
798837639,7.0056093,100.5373626,,3,,100.5373626,7.0056093,1,0.03989304290163232,1
798837808,6.9982317,100.5014399,,3,,100.5014399,6.9982317,3,0.014387700438329345,3
798837810,7.0016183,100.5013075,,3,,100.5013075,7.0016183,3,0.013222071710312104,3
798837828,7.0003634,100.5209358,,3,,100.5209358,7.0003634,5,0.03015658074239548,5
809537372,6.994755,100.501178,,3,,100.501178,6.994755,1,0.012171035672622671,1
809537378,7.0179486,100.4796474,,4,,100.4796474,7.0179486,4,0.000570586350641138,4
809537420,6.9981684,100.4838664,,3,,100.4838664,6.9981684,3,0.0022059082257001542,3
809537455,6.9994086,100.4922559,,3,,100.4922559,6.9994086,3,0.006166500393407249,3
809537457,6.9936015,100.4988106,,3,,100.4988106,6.9936015,1,0.009661678905536483,1
809537476,6.9988483,100.4887028,traffic_signals,3,,100.4887028,6.9988483,1,0.004653377171721386,1
809537481,7.0186166,100.4825298,,3,,100.4825298,7.0186166,2,0.0008520008658407813,2
809537513,7.018629,100.484356,,3,,100.484356,7.018629,2,0.001064550030660626,2
809537530,6.9938104,100.4996845,,3,,100.4996845,6.9938104,1,0.010431235327719552,1
809537541,7.0193955,100.4916933,,3,,100.4916933,7.0193955,4,0.00043289361243493784,4
809537602,6.9944808,100.4924915,,3,,100.4924915,6.9944808,1,0.006747619537816573,1
809537628,7.0191206,100.488491,,3,,100.488491,7.0191206,1,0.0005761781565662037,1
809537656,6.9995838,100.4927603,,3,,100.4927603,6.9995838,3,0.006371867908884178,3
809537666,7.0001013,100.4939025,,3,,100.4939025,7.0001013,3,0.0068951304917394965,3
809537690,7.009014,100.4814405,,4,,100.4814405,7.009014,1,0.00027287033461376463,1
809537695,7.0196136,100.4972114,,3,,100.4972114,7.0196136,5,0.0024726807366812808,5
809537709,7.0184925,100.4825501,,4,,100.4825501,7.0184925,2,0.000799242182438412,2
809537716,7.0162038,100.4824994,,3,,100.4824994,7.0162038,5,0.0004628667217787305,5
809537729,7.0192448,100.4976281,,3,,100.4976281,7.0192448,5,0.0030144029459959094,5
809537730,6.9983836,100.4795413,,4,,100.4795413,6.9983836,3,0.0004614457225826794,3
809537731,6.996624,100.5026452,,4,,100.5026452,6.996624,1,0.01451556159007372,1
809537750,7.000156,100.4941296,,3,,100.4941296,7.000156,3,0.00704855698512329,3
809537759,7.0018441,100.5000484,,3,,100.5000484,7.0018441,3,0.01194307787746301,3
809537797,7.0180708,100.4795991,,3,,100.4795991,7.0180708,4,0.0006975195787535646,4
809537799,7.0085168,100.4936666,,4,,100.4936666,7.0085168,3,0.006882397824243549,3
809537814,7.0195504,100.4955997,,3,,100.4955997,7.0195504,5,0.001903557506919535,5
809537820,7.0089067,100.4814243,traffic_signals,4,,100.4814243,7.0089067,1,0.0003554207841926061,1
809537830,7.0005323,100.4996807,,3,,100.4996807,7.0005323,3,0.011915173371693552,3
809537841,6.9990314,100.4890569,,3,,100.4890569,6.9990314,1,0.004837671854056703,1
823954353,7.0139577,100.4929914,,3,,100.4929914,7.0139577,3,0.0027304609082726486,3
823954361,7.0133764,100.4852179,,3,,100.4852179,7.0133764,4,0.0005087588818134598,4
823954362,7.0138524,100.4860728,,3,,100.4860728,7.0138524,4,0.0006718932576870648,4
823954363,7.014086,100.4950256,,3,,100.4950256,7.014086,3,0.0030860340768217023,3
823954365,7.0139431,100.4879197,,4,,100.4879197,7.0139431,1,0.0007398342022501079,1
849403330,7.0170091,100.4863472,,3,,100.4863472,7.0170091,3,0.0001222885610737213,3
849403339,7.0190841,100.488251,,3,,100.488251,7.0190841,1,0.00034437799042375943,1
849403352,7.0054336,100.4846966,traffic_signals,4,,100.4846966,7.0054336,1,0.0005292075267697037,1
849403365,7.0161191,100.4881007,,4,,100.4881007,7.0161191,4,0.0005949344519215539,4
849403384,7.0051541,100.4805461,traffic_signals,4,,100.4805461,7.0051541,1,0.0003261963509346117,1
849403388,7.016706,100.4878721,,3,,100.4878721,7.016706,4,0.0004629071371439984,4
849403403,7.0106328,100.485311,,3,,100.485311,7.0106328,2,0.00037844297581807987,2
849403406,7.0064003,100.4928334,,3,,100.4928334,7.0064003,3,0.005023915043203355,3
849403426,7.0188162,100.4858653,,3,,100.4858653,7.0188162,3,0.0003519212126127543,3
849403427,7.0158958,100.4880597,,3,,100.4880597,7.0158958,1,0.0005517645233512917,1
849403447,7.0158872,100.4851514,,3,,100.4851514,7.0158872,3,0.0002706804039954078,3
849403465,7.0188856,100.4865069,traffic_signals,4,,100.4865069,7.0188856,4,0.000574912271958645,4
849403480,7.0161803,100.487697,,4,,100.487697,7.0161803,4,0.0007052095454402695,4
849403482,7.0049611,100.4923327,traffic_signals,4,,100.4923327,7.0049611,3,0.0040775067445037545,3
849403490,7.0093218,100.4852835,,3,,100.4852835,7.0093218,4,0.0011275566035792576,4
849403500,7.0051611,100.480653,traffic_signals,4,,100.480653,7.0051611,1,0.00024214594488779323,1
849403509,7.0170717,100.4860121,,3,,100.4860121,7.0170717,3,0.0002381829818238255,3
849403518,7.0179174,100.4859534,,3,,100.4859534,7.0179174,4,0.0008256810051539098,4
849403531,7.005122,100.4885379,traffic_signals,4,,100.4885379,7.005122,3,0.0009769903132377477,3
856214432,7.0073565,100.480912,,4,,100.480912,7.0073565,2,0.0009232208639027858,2
856214452,7.0642875,100.5298706,,3,,100.5298706,7.0642875,4,0.00576016579986631,4
856214466,7.0302827,100.5022737,,3,,100.5022737,7.0302827,1,0.0024711028719265463,1
856214470,7.0077329,100.4733037,,3,,100.4733037,7.0077329,3,0.0008938419652702619,3
856214477,7.0199314,100.4980641,traffic_signals,3,,100.4980641,7.0199314,5,0.002826211360793444,5
856214478,7.0658452,100.5334383,,3,,100.5334383,7.0658452,4,0.004460835061989894,4
856214501,7.030198,100.5022774,,3,,100.5022774,7.030198,2,0.002500040282332918,2
856214503,7.0066584,100.4735976,,4,,100.4735976,7.0066584,2,0.0005691263697571764,2
856214513,7.0194998,100.4978484,,3,,100.4978484,7.0194998,5,0.0029590209058088564,5
856214520,7.0579235,100.5147035,,3,,100.5147035,7.0579235,1,0.00332866942489697,1
856214524,7.0072938,100.4793429,,4,,100.4793429,7.0072938,2,0.0006886931636020425,2
856214538,7.0071878,100.47536,,4,,100.47536,7.0071878,5,0.00011886907373931533,5
856214553,7.0524284,100.5063621,,3,,100.5063621,7.0524284,1,0.007387669640637603,1
856214569,7.0503528,100.5053576,,3,,100.5053576,7.0503528,1,0.008831353140700816,1
856214571,7.0092474,100.4812263,,4,,100.4812263,7.0092474,1,0.0004477057428373738,1
856214575,7.0486864,100.5047198,,3,,100.5047198,7.0486864,1,0.007374042863973637,1
856214578,7.0071506,100.4703267,,4,,100.4703267,7.0071506,2,0.00222652716847626,2
886018939,6.984827,100.4473196,,3,,100.4473196,6.984827,1,0.004261100455971634,1
886019075,6.9758062,100.4753233,,3,,100.4753233,6.9758062,1,0.0011348803777863502,1
886019828,6.9743463,100.4792548,traffic_signals,4,,100.4792548,6.9743463,4,0.0023001285519160396,4
886020909,6.9883905,100.4200582,,3,,100.4200582,6.9883905,3,0.0016094819074076745,3
886021212,6.9753746,100.4761761,,3,,100.4761761,6.9753746,4,0.00140112322473756,4
886021384,6.9827658,100.4546258,,4,,100.4546258,6.9827658,3,0.001191175277356978,3
916327677,7.1136201,100.4652636,,3,,100.4652636,7.1136201,3,0.0036065907883610533,3
916327685,7.1306987,100.46497,,3,,100.46497,7.1306987,4,0.0012970361179899619,4
916327686,7.0137451,100.4713034,,3,,100.4713034,7.0137451,3,0.0004249350174650957,3
916327691,7.1336074,100.4682987,,4,,100.4682987,7.1336074,4,0.0016409446634601285,4
916327692,7.0577462,100.4938323,,3,,100.4938323,7.0577462,3,0.00041522939296938113,3
916327702,7.0121213,100.4704568,,3,,100.4704568,7.0121213,2,0.0005340323376271213,2
916327703,7.0947737,100.4772004,,3,,100.4772004,7.0947737,5,0.0011864626925837268,5
916327709,7.0537287,100.4793854,,3,,100.4793854,7.0537287,2,0.000730785751198127,2
916327720,7.0638595,100.4769939,,3,,100.4769939,7.0638595,4,0.00034506839200744086,4
916327730,7.0107398,100.470007,,4,,100.470007,7.0107398,2,0.0008456542073617067,2
916327735,7.0583317,100.4878958,,3,,100.4878958,7.0583317,1,0.00043753604739999835,1
916327738,7.0142025,100.4711353,,3,,100.4711353,7.0142025,3,0.00012016682174141942,3
916327739,7.0676484,100.4778734,,3,,100.4778734,7.0676484,3,0.00040180899487541537,3
916327743,7.1181551,100.4641195,,3,,100.4641195,7.1181551,3,0.0016832983490656021,3
916327747,7.0718087,100.4819126,,3,,100.4819126,7.0718087,1,0.0008103246145402257,1
916327751,7.1548301,100.4683377,,3,,100.4683377,7.1548301,4,0.004029329551436955,4
916327757,7.1466424,100.4671009,,3,,100.4671009,7.1466424,4,0.001474272875004799,4
916327760,7.1134299,100.4656215,,3,,100.4656215,7.1134299,3,0.003963882505383411,3
916327764,7.1024413,100.4724435,,3,,100.4724435,7.1024413,3,0.0007790482626195115,3
916327777,7.0108552,100.4676131,,4,,100.4676131,7.0108552,3,0.0009466862467594311,3
916327788,7.0140682,100.4935523,,3,,100.4935523,7.0140682,3,0.002607675944695346,3
916327789,7.1312154,100.4652553,,3,,100.4652553,7.1312154,4,0.0007333235661685054,4
916327791,7.0587952,100.4853504,,3,,100.4853504,7.0587952,2,0.0014221037304261296,2
916327792,7.0113312,100.4675226,,4,,100.4675226,7.0113312,2,0.0009193258950831652,2
916327794,7.0553765,100.4773134,,3,,100.4773134,7.0553765,5,0.0012320058478624543,5
916327795,7.0544528,100.5020198,,4,,100.5020198,7.0544528,1,0.004893455297700742,1
916327802,7.1138946,100.4693736,,4,,100.4693736,7.1138946,4,0.0006829323768143192,4
916327807,7.0703419,100.4806421,,4,,100.4806421,7.0703419,2,0.0003917472376724544,2
916327810,7.011277,100.4701876,,3,,100.4701876,7.011277,2,0.0012973824558401331,2
916327812,7.1344419,100.4656026,,3,,100.4656026,7.1344419,5,0.0007034770075156297,5
