u,v,key,osmid,highway,oneway,ref,reversed,length,geometry,lanes_clean,capacity,name,lanes,bridge,maxspeed,access,junction,tunnel,flood_level_s0,flood_level_s1
2505175801,1672229976,0,154729341,residential,False,,False,9.487910108215294,"LINESTRING (100.4348887 6.9983138, 100.4349315 6.9982398)",1.0,33.20768537875353,,,,,,,,0,1
2505175801,2505175810,0,243012499,tertiary,True,,False,44.94743146987921,"LINESTRING (100.4348887 6.9983138, 100.4352508 6.9984988)",1.0,157.31601014457723,,,,,,,,0,4
1196108339,8642505207,0,932297957,residential,False,,False,27.705566374452427,"LINESTRING (100.4310216 6.9941282, 100.4307723 6.9941574)",1.0,96.9694823105835,,,,,,,,0,1
1196108339,2506085058,0,959988786,secondary,True,4135,False,161.64528364616632,"LINESTRING (100.4310216 6.9941282, 100.4310136 6.9944423, 100.4310018 6.9947523, 100.4309272 6.9952007, 100.4308481 6.9955672)",1.0,565.7584927615821,,,,,,,,0,1
8642505204,1196108339,0,959988786,secondary,True,4135,False,30.69997033062499,"LINESTRING (100.4310068 6.9938525, 100.4310216 6.9941282)",1.0,107.44989615718747,,,,,,,,0,1
8642505204,8642505207,0,932297958,residential,False,,True,43.127951752919564,"LINESTRING (100.4310068 6.9938525, 100.4309627 6.9938805, 100.4309332 6.9939111, 100.4307723 6.9941574)",1.0,150.94783113521848,,,,,,,,0,1
485580819,2506085047,0,243188666,secondary_link,True,,False,82.77429545181833,"LINESTRING (100.4313502 6.9961195, 100.4311564 6.9959726, 100.4310425 6.9958595, 100.4310008 6.9957552, 100.4309798 6.9955259)",1.0,289.71003408136414,,,,,,,,0,1
485580819,1196102301,0,1075535366,secondary,True,4287,False,57.80595421007882,"LINESTRING (100.4313502 6.9961195, 100.4310653 6.9959798, 100.4308873 6.9958769)",1.0,202.32083973527588,ถนนเพชรเกษม,,,,,,,0,1
485580824,8642774010,0,931321078,tertiary,False,,False,45.04317745446481,"LINESTRING (100.4631218 6.996412, 100.4633449 6.9960728)",1.0,157.65112109062684,ถนนพลพิชัย,,,,,,,0,1
485580824,4900465156,0,931321078,tertiary,False,,True,53.44721614383961,"LINESTRING (100.4631218 6.996412, 100.4628379 6.9968014)",1.0,187.06525650343863,ถนนพลพิชัย,,,,,,,0,2
485580824,1680665041,0,323958075,secondary,False,,True,141.99527845336578,"LINESTRING (100.4631218 6.996412, 100.4636278 6.9965438, 100.4639575 6.9966156, 100.4643735 6.9967062)",1.0,496.98347458678023,ถนนศรีภูวนารถ,,,,,,,0,1
8642774010,4900465457,0,931321078,tertiary,False,,False,30.201141875088755,"LINESTRING (100.4633449 6.9960728, 100.4635096 6.9958559)",1.0,105.70399656281064,ถนนพลพิชัย,,,,,,,0,1
8642774010,485580824,0,931321078,tertiary,False,,True,45.04317745446481,"LINESTRING (100.4633449 6.9960728, 100.4631218 6.996412)",1.0,157.65112109062684,ถนนพลพิชัย,,,,,,,0,1
8642774010,8642774009,0,932329078,residential,False,,False,53.07516545661969,"LINESTRING (100.4633449 6.9960728, 100.4628991 6.9958938)",1.0,185.76307909816893,,,,,,,,0,1
4900465156,4900465157,0,498671461,residential,False,,False,86.15874882371912,"LINESTRING (100.4628379 6.9968014, 100.4636049 6.9969457)",1.0,301.5556208830169,,,,,,,,0,2
4900465156,485580824,0,931321078,tertiary,False,,False,53.44721614383961,"LINESTRING (100.4628379 6.9968014, 100.4631218 6.996412)",1.0,187.06525650343863,ถนนพลพิชัย,,,,,,,0,2
4900465156,1680665232,0,931321078,tertiary,False,,True,49.86785676922299,"LINESTRING (100.4628379 6.9968014, 100.4625694 6.9971621)",1.0,174.53749869228045,ถนนพลพิชัย,,,,,,,0,2
1680665041,1680664521,0,155690650,residential,False,,True,117.93778223487237,"LINESTRING (100.4643735 6.9967062, 100.4647444 6.9957115)",1.0,412.7822378220533,,,,,,,,0,1
1680665041,4900464613,0,323958075,secondary,False,,True,16.683750863017163,"LINESTRING (100.4643735 6.9967062, 100.4645203 6.996742)",1.0,58.39312802056007,ถนนศรีภูวนารถ,,,,,,,0,1
1680665041,485580824,0,323958075,secondary,False,,False,141.9952784533658,"LINESTRING (100.4643735 6.9967062, 100.4639575 6.9966156, 100.4636278 6.9965438, 100.4631218 6.996412)",1.0,496.98347458678035,ถนนศรีภูวนารถ,,,,,,,0,1
4900465457,1680664436,0,931321078,tertiary,False,,False,55.56505781037398,"LINESTRING (100.4635096 6.9958559, 100.4637731 6.9954301)",1.0,194.47770233630894,ถนนพลพิชัย,,,,,,,0,1
4900465457,8642774010,0,931321078,tertiary,False,,True,30.201141875088755,"LINESTRING (100.4635096 6.9958559, 100.4633449 6.9960728)",1.0,105.70399656281064,ถนนพลพิชัย,,,,,,,0,1
4900465457,8643255340,0,"[155690987, 498671572]",residential,False,,"[False, True]",137.28635536710266,"LINESTRING (100.4635096 6.9958559, 100.4625322 6.9955884, 100.4625266 6.9955299, 100.4625599 6.9953636)",1.0,480.5022437848593,Ruangkool Road,,,,,,,0,1
8642774009,8642774010,0,932329078,residential,False,,True,53.07516545661969,"LINESTRING (100.4628991 6.9958938, 100.4633449 6.9960728)",1.0,185.76307909816893,,,,,,,,0,1
4900465157,4900465156,0,498671461,residential,False,,True,86.15874882371912,"LINESTRING (100.4636049 6.9969457, 100.4628379 6.9968014)",1.0,301.5556208830169,,,,,,,,0,2
1680665232,4900465156,0,931321078,tertiary,False,,False,49.86785676922299,"LINESTRING (100.4625694 6.9971621, 100.4628379 6.9968014)",1.0,174.53749869228045,ถนนพลพิชัย,,,,,,,0,2
1680665232,1680665321,0,931321078,tertiary,False,,True,27.314856482444288,"LINESTRING (100.4625694 6.9971621, 100.4624293 6.9973646)",1.0,95.601997688555,ถนนพลพิชัย,,,,,,,0,2
1680665232,1680665321,1,155690977,residential,False,,True,264.02817042426216,"LINESTRING (100.4625694 6.9971621, 100.4615046 6.9968474, 100.4614784 6.9969467, 100.461445 6.9971001, 100.4624293 6.9973646)",1.0,924.0985964849176,,,,,,,,0,2
1680664521,1680665041,0,155690650,residential,False,,False,117.93778223487237,"LINESTRING (100.4647444 6.9957115, 100.4643735 6.9967062)",1.0,412.7822378220533,,,,,,,,0,1
4900464613,1680665041,0,323958075,secondary,False,,False,16.683750863017163,"LINESTRING (100.4645203 6.996742, 100.4643735 6.9967062)",1.0,58.39312802056007,ถนนศรีภูวนารถ,,,,,,,0,1
4900464613,13336315606,0,498671416,residential,False,,False,9.732603563364181,"LINESTRING (100.4645203 6.996742, 100.4645001 6.9968272)",1.0,34.064112471774635,,,,,,,,0,1
4900464613,8634028428,0,323958075,secondary,False,,True,72.93522695997206,"LINESTRING (100.4645203 6.996742, 100.4646884 6.996775, 100.4650122 6.996836, 100.4651693 6.9968656)",1.0,255.2732943599022,ถนนศรีภูวนารถ,,,,,,,0,1
1680664436,1680664320,0,155690668,residential,False,,True,135.92305029592845,"LINESTRING (100.4637731 6.9954301, 100.4626219 6.9949958)",1.0,475.7306760357496,,,,,,,,0,1
1680664436,4900465457,0,931321078,tertiary,False,,True,55.56505781037398,"LINESTRING (100.4637731 6.9954301, 100.4635096 6.9958559)",1.0,194.47770233630894,ถนนพลพิชัย,,,,,,,0,1
1680664436,1680664363,0,931321078,tertiary,False,,False,28.65527511260419,"LINESTRING (100.4637731 6.9954301, 100.4638353 6.995341, 100.463929 6.9952242)",1.0,100.29346289411467,ถนนพลพิชัย,,,,,,,0,1
8643255340,4900465408,0,155690987,residential,False,,True,28.694663664905214,"LINESTRING (100.4625599 6.9953636, 100.4626126 6.9951109)",1.0,100.43132282716824,,,,,,,,0,1
8643255340,8643255341,0,932383059,residential,False,,True,95.82144868137833,"LINESTRING (100.4625599 6.9953636, 100.4617149 6.9951657)",1.0,335.37507038482414,,,,,,,,0,1
