y,x,highway,street_count,is_shelter,shelter_names,pop_male,pop_female,pop_total,households,junction,flood_level_20251121_0600,flood_distance_20251121_0600_m,flood_level_20251124_2200,flood_distance_20251124_2200_m
6.995827899999998,100.4307919,traffic_signals,4,False,,2,1,3,2,,0,2776.9705775487837,1,149.75683360280624
6.9960079,100.430775,traffic_signals,4,False,,1,2,3,0,,0,2766.9806917254346,1,158.65032671762862
6.995743999999998,100.4303987,,3,False,,0,1,1,0,,0,2817.7759189779167,1,189.61574723663307
6.996390899999999,100.4307922,,3,False,,0,1,1,3,,0,2741.2430516502695,1,178.76175711706335
6.996045499999998,100.4308775,traffic_signals,4,False,,0,2,2,3,,0,2755.3295385291935,1,150.28327365205527
6.995746399999999,100.43029340000001,,3,False,,3,0,3,2,,0,2827.1432582934185,1,201.09621380271201
6.995876900000001,100.4308873,traffic_signals,4,False,,0,0,0,1,,0,2765.2440420892435,1,141.60666673694345
6.9962481,100.43125180000001,,3,False,,0,2,2,1,,0,2708.63045139298,1,129.97577104690222
6.995162799999999,100.4303531,,3,False,,1,2,3,3,,0,2859.334695838473,1,156.38620377131954
6.9955259,100.4309798,,3,False,,2,3,5,3,,0,2779.7512867705805,1,122.52214573512457
6.997057000000002,100.4327465,,4,False,,0,0,0,1,,0,2522.2794614100267,1,19.02515843881874
6.994157399999999,100.4307723,,3,False,,0,0,0,4,,0,2881.148447355097,1,59.77857424532707
6.996931699999999,100.4328536,,3,False,,0,0,0,1,,0,2520.8698664747435,1,18.157864378404177
6.9982397999999995,100.4349315,,3,False,,4,0,4,2,,0,2250.281462770468,1,52.50290897375642
6.998313799999998,100.4348887,,4,False,,1,0,1,1,,0,2249.19303343653,1,55.379272298229516
6.994128199999999,100.4310216,,3,False,,1,0,1,0,,0,2859.51612272016,1,78.84316593445072
6.993852500000001,100.4310068,,3,False,,0,0,0,3,,0,2877.2643110541785,1,66.1797428482946
6.9961195,100.4313502,,3,False,,0,0,0,3,,0,2708.0473370164486,1,112.25665612614088
6.996411999999999,100.4631218,traffic_signals,4,False,,2,0,2,1,,0,28.88969253949021,1,28.88969253949021
6.996072799999999,100.4633449,,3,False,,1,0,1,2,,0,51.21166475813256,1,51.21166475813256
6.9968014,100.4628379,,3,False,,1,0,1,2,,0,32.368641989933195,2,32.368641989933195
6.996706200000001,100.46437350000001,,3,False,,2,1,3,3,,0,47.71518798104164,1,47.71518798104164
6.9958559,100.4635096,,3,False,,1,1,2,1,,0,78.68328429613146,1,78.68328429613146
6.995893800000001,100.4628991,,1,False,,0,1,1,2,,0,39.437151297394756,1,39.437151297394756
6.9969457,100.4636049,,1,False,,0,0,0,3,,0,77.54936433955177,2,77.54936433955177
6.9971621,100.4625694,,3,False,,1,1,2,1,,0,39.34481338635302,2,39.34481338635302
6.995711499999999,100.4647444,,1,False,,0,1,1,3,,0,152.74075952631114,1,152.74075952631114
6.9967419999999985,100.4645203,,3,False,,0,2,2,2,,0,38.3825188141664,1,38.3825188141664
6.995430099999999,100.4637731,,3,False,,3,0,3,1,,0,131.05098768042004,1,131.05098768042004
6.995363599999999,100.4625599,,3,False,,0,2,2,2,,0,105.64911736414662,1,105.64911736414662
6.997364599999999,100.4624293,,3,False,,0,0,0,2,,0,62.185159030582376,2,62.185159030582376
6.9968271999999985,100.46450010000001,,1,False,,1,0,1,2,,0,29.77930776246151,1,29.77930776246151
6.996865599999999,100.4651693,,3,False,,0,1,1,1,,0,69.07428256866204,1,69.07428256866204
6.9949958,100.4626219,,3,False,,1,4,5,0,,0,142.46477206450172,1,142.46477206450172
6.9952242,100.463929,,3,False,,0,1,1,0,,0,159.30502645112213,1,159.30502645112213
6.9951108999999985,100.46261260000001,,3,False,,0,0,0,0,,0,130.3673469881314,1,130.3673469881314
6.9951656999999985,100.4617149,,1,False,,0,0,0,1,,0,58.38357575388806,1,58.38357575388806
6.997507299999998,100.4624178,,3,False,,0,0,0,1,,0,58.436916005880406,3,58.436916005880406
6.996918600000001,100.4652535,,3,False,,0,1,1,2,,0,76.25300574511158,1,76.25300574511158
6.994840899999999,100.46265400000001,,4,False,,0,1,1,2,,0,158.50096218358908,1,158.50096218358908
6.9954423,100.4648018,,3,False,,2,1,3,2,,0,183.0675787814073,1,183.0675787814073
