Id,lon,lat,depth
3569,100.502083333,7.032916666333331,0.5
3585,100.477083333,7.032083332999997,1.0
3592,100.502083333,7.032083332999997,2.0
3608,100.479583333,7.031249999666664,1.0
3615,100.5012499996667,7.031249999666664,1.5
3616,100.502083333,7.031249999666664,0.5
3628,100.4762499996667,7.030416666333331,1.5
3629,100.477083333,7.030416666333331,1.0
3630,100.4787499996667,7.030416666333331,2.0
3631,100.479583333,7.030416666333331,1.5
3651,100.474583333,7.029583332999998,1.5
3652,100.4779166663333,7.029583332999998,1.5
3653,100.479583333,7.029583332999998,1.0
3662,100.5004166663333,7.029583332999998,1.0
3663,100.502083333,7.029583332999998,1.5
3676,100.4754166663333,7.028749999666664,1.5
3677,100.477083333,7.028749999666664,1.0
3678,100.4779166663333,7.028749999666664,2.5
3679,100.4787499996667,7.028749999666664,1.5
3680,100.4804166663333,7.028749999666664,2.5
3688,100.5004166663333,7.028749999666664,2.5
3689,100.5012499996667,7.028749999666664,0.5
3702,100.4704166663333,7.027916666333331,1.5
3703,100.472083333,7.027916666333331,1.5
3704,100.4737499996667,7.027916666333331,1.0
3705,100.4762499996667,7.027916666333331,2.5
3706,100.4762499996667,7.027916666333331,2.0
3707,100.4787499996667,7.027916666333331,2.0
3712,100.5012499996667,7.027916666333331,1.5
3724,100.4704166663333,7.027083332999998,2.5
3725,100.472083333,7.027083332999998,1.0
3726,100.474583333,7.027083332999998,2.5
3727,100.4762499996667,7.027083332999998,2.0
3728,100.4787499996667,7.027083332999998,1.5
3729,100.479583333,7.027083332999998,1.0
3736,100.5004166663333,7.027083332999998,1.0
3737,100.5012499996667,7.027083332999998,0.5
3741,100.454583333,7.026249999666664,0.5
3745,100.4679166663333,7.026249999666664,0.5
3746,100.4687499996667,7.026249999666664,1.5
3747,100.469583333,7.026249999666664,1.0
3748,100.472083333,7.026249999666664,2.5
3749,100.472083333,7.026249999666664,2.0
3750,100.477083333,7.026249999666664,1.5
3751,100.4779166663333,7.026249999666664,1.0
3752,100.479583333,7.026249999666664,2.0
3753,100.4804166663333,7.026249999666664,0.5
3758,100.5004166663333,7.026249999666664,0.5
3759,100.5004166663333,7.026249999666664,1.5
3762,100.457083333,7.025416666333331,2.5
3763,100.4579166663333,7.025416666333331,1.0
3768,100.467083333,7.025416666333331,2.0
3769,100.469583333,7.025416666333331,2.0
3770,100.474583333,7.025416666333331,1.5
3771,100.4754166663333,7.025416666333331,2.0
3772,100.479583333,7.026249999666664,1.5
3778,100.5004166663333,7.025416666333331,1.0
3782,100.452083333,7.024583332999997,1.5
3783,100.4529166663333,7.024583332999997,1.0
3784,100.454583333,7.024583332999997,2.0
3785,100.4554166663333,7.024583332999997,2.5
3786,100.457083333,7.024583332999997,1.0
3787,100.459583333,7.024583332999997,1.0
3788,100.4679166663333,7.024583332999997,0.5
3789,100.4762499996667,7.024583332999997,1.0
3790,100.477083333,7.024583332999997,1.5
3793,100.499583333,7.024583332999997,1.5
3803,100.452083333,7.023749999666665,1.0
3804,100.4537499996667,7.024583332999997,2.5
3805,100.4562499996667,7.023749999666665,1.5
3806,100.4654166663333,7.023749999666665,1.5
3807,100.4662499996667,7.023749999666665,1.5
3808,100.477083333,7.023749999666665,2.0
3809,100.477083333,7.023749999666665,2.5
3822,100.4529166663333,7.022916666333331,2.5
3823,100.4554166663333,7.022916666333331,1.0
3824,100.459583333,7.022916666333331,0.5
3825,100.4604166663333,7.022916666333331,1.5
3828,100.4662499996667,7.022916666333331,2.5
