u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel
1680666821,1680666903,0,706357258,residential,Pracha Uthit Road,False,True,23.820188067472582,,,,,,,
1680666823,1680667029,0,155691032,residential,,False,True,91.13366362203102,,,,,,,
1680666827,4900465949,0,155691084,residential,,False,True,94.08040369099179,,,,,,,
1680666827,1680667079,0,155691015,residential,,False,False,49.107254475825,,,,,,,
1680666827,1680666891,0,155691084,residential,,False,False,88.25403187086641,,,,,,,
1680666830,1680666678,0,155691074,residential,,False,False,68.66687970159994,,,,,,,
1680666830,1680666946,0,155691074,residential,,False,True,26.894710258746194,,,,,,,
1680666830,1680667171,0,155690753,residential,Thanon Rajuthit Soi 13,False,False,126.05265351005247,,,,,,,
1680666869,1680666531,0,1187512687,residential,,True,False,87.46522666241101,,,,,,,
1680666869,1680666752,0,931321077,secondary,ถนนเพชรเกษม,True,False,115.68439956350988,,,,,,,
1680666887,1680666954,0,155690978,residential,,False,False,110.33256753529534,,,,,,,
1680666887,4900465414,0,155690978,residential,,False,True,77.63893299754314,,,,,,,
1680666887,1680667068,0,155691052,residential,,False,False,115.17673497009784,,,,,,,
1680666891,4900465071,0,155691022,residential,Soi 8 Rajyindee,False,False,42.395489490298075,,,,,,,
1680666891,8523321638,0,155691084,residential,,False,False,211.71132501074771,,,,,,,
1680666891,1680666827,0,155691084,residential,,False,True,88.25403187086641,,,,,,,
1680666900,1680667143,0,84842969,secondary,ถนนเพชรเกษม,True,False,114.78498523503362,,,,,,,
1680666900,8635015869,0,155691182,residential,ถนนสันติราษฎร์,False,True,76.0923205890072,,,,,,,
1680666903,8634015004,0,155690525,residential,Thanon Rajuthit Soi 14,False,False,179.31804993798013,,,,,,,
1680666903,1680666821,0,706357258,residential,Pracha Uthit Road,False,False,23.820188067472582,,,,,,,
1680666903,1421020884,0,706357258,residential,Pracha Uthit Road,False,True,39.979465285839,,,,,,,
1680666946,1680666830,0,155691074,residential,,False,False,26.894710258746194,,,,,,,
1680666946,1680666763,0,155690903,residential,,False,True,80.4834094256854,,,,,,,
1680666946,1680667576,0,155691074,residential,,False,True,187.38776285347603,,,,,,,
1680666950,1680667029,0,155690878,residential,,False,False,66.37405140023385,,,,,,,
1680666950,13339819888,0,706256380,residential,ถนนละม้ายสงเคราะห์,False,False,28.584168922857092,,,,,,,
