name,lat,lon,capacity
โรงเรียนเทศบาล 1 (เอ็งเสียงสามัคคี),7.016168002448947,100.47009743987695,1000
โรงเรียนเทศบาล 2 (บ้านหาดใหญ่),7.002161827619938,100.46069209569502,1000
โรงเรียนเทศบาล 3 (โศภนพิทยาคุณานุสรณ์),7.020287112540944,100.49496894516454,1000
โรงเรียนเทศบาล 4 (วัดคลองเรียน),6.998946485872591,100.48661537058094,1000
โรงเรียนนานาชาติเซาท์เทิร์น หาดใหญ่,7.024526424336696,100.45590208405886,1000
มหาวิทยาลัยสงขลานครินทร์,7.0084220155815995,100.49627523435731,15000
